Key Symbol	Keyway	Key Qty	Door #	Discription	Locksmith Log qty	OM total estimated qty.	NOTES			
A	T120	NA	District Entry Master	District Entry - Not on District Master * Issued by Safety Office						
A16	T125	4	Trio Bldg. Entries	Bldg. Entry - Not on District Master * Issued by Safety Office						
A22		NA	MDF	MDF/IT Not on District Master * Issued by Safety Office						
							Dup#'s, stamped wrong, seq, etc VERY MESSY			
DCA	D125	Unknown	Interior Master	Site Master	32	33	1 copy with no #, Unknown QTYs			
										
DCAA	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD ROW site Master	Unknown	08^	^ highest copy #			
DCAA1	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD Ext keys	Unknown	05^				
DCAA2	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD Ext keys	59	76^				
DCAA3	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD Ext keys	Unknown/ #20	20	20			
DCAA4	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD Ext keys	14	14				
DCAA5	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	OLD Ext keys	Unknown	10^				
										
DCA1	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y1	4	4				
DCA2	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y2	4	4				
DCA3	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y3	4	Unknown				
DCA4	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y4	4	4				
DCA5	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y5	11	11				
DCA6	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y6	11	11				
DCA7	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	Y7	4	4				
DCA8	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B1	8	8				
DCA9	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B3	4	8	KEYS STAMPED WRONG* Unknown			
DCA10	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B5	4	4				
DCA11	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B6	4	4				
DCA12	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B4	4	4				
DCA13	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	B2	4	4				
DCA14	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R1	4	4				
DCA15	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R3	4	4				
DCA16	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R5	4	4				
DCA17	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R8	4	4				
DCA18	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R6	4	4				
DCA19	D125	Unknown	**ALL KEYS WORK ON ALL CLASSROOMS**	R4	8	8				
