Key Symbol	Keyway	Key Qty	Door #	Discription	Log QTY.	notes	Keys in inventory	Keys issued	Keys lost
A	T120	NA	District Entry Master	District Entry - Not on District Master * Issued by Safety Office	NA				
A4	T125	NA	Trio Bldg. Entries, Card Readers	Bldg. Entry - Not on District Master * Issued by Safety Office	NA				
A22	T125	NA	MDF/IT Card Readers	Not on District Master * Issued by Safety Office	NA				
					NA				
									
TMK	T120		All district Master		NA	Interior Master			
TMK125	T125		District master T125 keyway		NA	Interior Master			
TMK124	T124		District master T124 keyway		NA	Interior Master			
									
									
DA	D124			Bldg Master	329	Unknown Qty* 			
DAS	D123			Master Security D123 Keyways	23	Unknown Qty* 			
									
									
DA1				Main entry	12	Unknown Qty* old not in use			
DA2				Special Ed entry	12	Unknown Qty* old not in use			
DA3				Daycare entry	Unknown Qty*	Unknown Qty* old not in use			
DA4				Art entry	113	Unknown Qty* old not in use			
DA5				Workshop,Chior and Band entry	Unknown Qty* 	Unknown Qty* old not in use			
DA6				Kitchen	35	Unknown Qty* 			
DA7				Believed to be unused (1/14/19) (Previously Storage up by room 292 (In hall to Leadership).)	13	Unknown Qty* 			
SKD 11				Book Keeper's Office ( dist. Master will also open)	6	Unknown Qty* 			
DA8				Student Activities (all doors in area).	13	Unknown Qty* 			
DA9				Believed to be unused (1/14/19) (Previously Athletic Secretary)	Unknown Qty* 	Unknown Qty* 			
DA10				Culinary storage	Unknown Qty* 	Unknown Qty* 			
DA11				Parent Room	Unknown Qty* 	Unknown Qty* 			
DA12				Restrooms at gym entrance past main office (for bus drivers and other misc staff).	10	Unknown Qty* 			
DAA				Top Gym Coaches Master opens all gym storages and all gym related doors	115	Unknown Qty* 			
DAA1				Storage D127  under stadium storage ( closet in concession keyway d-123 das 852617)	Unknown Qty* 	Unknown Qty* 			
DAA2				Storage D106	11	Unknown Qty* 			
DAA3				Storage D101	9	Unknown Qty* 			
DAA4				Storage D101A	25	Unknown Qty* 			
DAA5				Storage D101B	Unknown Qty* 	Unknown Qty* 			
DAA6				Storage D101C	24	Unknown Qty* 			
DAA7				Key not used.	Unknown Qty* 	Unknown Qty* 			
DAA8				tracter shed and varcity baseball batting cage CHANGED 9/11/13 TO DAA15	30	Unknown Qty* 			
DAA9				Storage D209C	Unknown Qty* 	Unknown Qty* 			
DAA10				Storage D213G	Unknown Qty* 	Unknown Qty* 			
DAA11				Sound Booth CHANGED TO D123 9/17/13 BOOTH IN GYM  MARKED DAA11S	4	Unknown Qty* 			
DAA12				Grand Stand Door 001 Storage, 	Unknown Qty* 	Unknown Qty* 			
DAA13				Grand Stand Door 003 Storage, 	Unknown Qty* 	Unknown Qty* 			
DAA14				Field House Electrical, Storage, Janitor, Restrooms,  Xed with DAC3  COACHES ROOM A DAA15 9/11/13	Unknown Qty* 	Unknown Qty* 			
DAAA				Teachers Master opens all gym related doors EXCEPT storages	39	Unknown Qty* 			
DAAA1				Athletic Office and gym doors. Does not open exterior or lockers	129	Unknown Qty* 			
DAAA2				Field Lights new fc portland lights and 2 gates 2/18/15	62	Unknown Qty* 			
DAAA3				Gym Exterior to Restrooms, all field padlocks. This key issued to FCPortland---don’t issue to fc portland	120	Unknown Qty* 			
DAA15				batting cage extiorior consessions field house coaches room	11	Unknown Qty* 			
						Unknown Qty* 			
DAAB				Athletic Gate Padlock Master	18	Unknown Qty* 			
DAAB1				Used	Unknown Qty* 	Unknown Qty* 			
DAAB2				Used	Unknown Qty* 	Unknown Qty* 			
						Unknown Qty* 			
DAB				Network Master opens all locks starting with DAB	100	Unknown Qty* 			
